Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,446.2802497290943,2025-06-24 02:45:00+00:00,2.2352235,0.598521661068204,2025-06-24 06:15:00+00:00,2.2877712,0.6125922614754178,22.23988675614579,0.022294818920792367,Long,Closed,0
1,0,436.109899694723,2025-06-24 06:45:00+00:00,2.2932293,0.6000599999999999,2025-06-24 07:00:00+00:00,2.2837715999999997,0.5975852420409942,-5.322241840383913,-0.0053217096694169715,Long,Closed,1
2,0,437.636761487965,2025-06-24 07:15:00+00:00,2.2852285,0.6000599999999999,2025-06-24 09:15:00+00:00,2.2977702,0.6033532253829321,4.28529574617066,0.004284867259444715,Long,Closed,2
3,0,437.4453193350831,2025-06-24 09:30:00+00:00,2.2862286,0.6000599999999999,2025-06-24 11:15:00+00:00,2.2927707,0.6017770866141732,1.6599739370080078,0.0016598079562123867,Long,Closed,3
4,0,340.6644225650127,2025-06-24 11:30:00+00:00,2.2822282,0.46648437114875296,2025-06-24 14:15:00+00:00,2.2987701,0.4698655132357299,4.698886927243664,0.006043786953469373,Long,Closed,4
5,0,434.21189046159407,2025-06-24 14:45:00+00:00,2.2972297,0.5984906705169123,2025-06-24 16:30:00+00:00,2.3467653,0.6113960384296019,20.299059812202852,0.020350251870764193,Long,Closed,5
6,0,424.2681374628765,2025-06-24 16:45:00+00:00,2.3572357000000004,0.6000599999999999,2025-06-24 17:00:00+00:00,2.3317668,0.5935766143402629,-11.999279380568664,-0.011998079572611403,Long,Closed,6
7,0,432.152117545376,2025-06-24 17:45:00+00:00,2.3142314,0.6000599999999999,2025-06-24 21:30:00+00:00,2.2997699999999996,0.5963102852203974,-7.445894917891239,-0.007445150402850953,Long,Closed,7
8,0,436.871996505024,2025-06-24 23:00:00+00:00,2.2892289,0.6000599999999999,2025-06-25 02:00:00+00:00,2.3117688,0.605968230668414,8.64102288335513,0.008640158867468386,Long,Closed,8
9,0,434.0277777777778,2025-06-25 02:15:00+00:00,2.3042304,0.6000599999999999,2025-06-25 02:30:00+00:00,2.309769,0.6015023437500001,1.2023439062502046,0.0012022236838818163,Long,Closed,9
10,0,433.0879168471199,2025-06-25 03:30:00+00:00,2.3092309,0.6000599999999999,2025-06-25 10:15:00+00:00,2.2677731999999997,0.589287102641836,-19.144176032914988,-0.019142261806734315,Long,Closed,10
11,0,395.50434114488866,2025-06-25 10:30:00+00:00,2.2622262,0.5368321696510231,2025-06-25 13:15:00+00:00,2.2927707,0.544080459059883,10.999569719389058,0.01229386427404995,Long,Closed,11
12,0,438.4042086804033,2025-06-25 14:00:00+00:00,2.2812281000000003,0.60006,2025-06-25 15:00:00+00:00,2.2557744,0.5933645944761069,-12.352433800964683,-0.01235119868109657,Long,Closed,12
13,0,446.2293618920125,2025-06-25 15:30:00+00:00,2.2412241,0.6000599999999999,2025-06-26 01:30:00+00:00,2.2697730000000003,0.6077036144578314,11.531593815261177,0.011530440771184059,Long,Closed,13
14,0,440.33465433729634,2025-06-26 01:45:00+00:00,2.2712271,0.6000599999999999,2025-06-26 02:45:00+00:00,2.2827717,0.6031100924702774,3.880317357992094,0.0038799293650555885,Long,Closed,14
15,0,440.1408450704226,2025-06-26 03:30:00+00:00,2.2722271999999997,0.6000599999999999,2025-06-26 03:45:00+00:00,2.2727727,0.6002040580985916,-0.9601672271126152,-0.0009600712199906161,Long,Closed,15
16,0,441.306266548985,2025-06-26 04:00:00+00:00,2.2662266,0.6000599999999999,2025-06-26 07:00:00+00:00,2.2747725,0.6023228155339805,2.5689764077670527,0.0025687195358134714,Long,Closed,16
17,0,438.98156277436345,2025-06-26 07:30:00+00:00,2.2782278,0.6000599999999999,2025-06-26 07:45:00+00:00,2.2717728,0.5983598244073748,-4.032045812115876,-0.0040316426478510916,Long,Closed,17
18,0,439.17435221783046,2025-06-26 08:00:00+00:00,2.2772277,0.6000599999999999,2025-06-26 08:15:00+00:00,2.2707729,0.5983591304347825,-4.033201739130501,-0.004032798459284572,Long,Closed,18
19,0,440.9171075837743,2025-06-26 08:30:00+00:00,2.2682268,0.6000599999999999,2025-06-26 10:00:00+00:00,2.2557744,0.5967657142857142,-6.68730190476193,-0.006686633241437786,Long,Closed,19
20,0,442.8697962798937,2025-06-26 10:15:00+00:00,2.2582258,0.6000599999999999,2025-06-26 10:45:00+00:00,2.2577742,0.5999399999999999,-1.3999999999999315,-0.0013998600139985319,Long,Closed,20
21,0,442.8697962798937,2025-06-26 11:00:00+00:00,2.2582258,0.6000599999999999,2025-06-26 11:45:00+00:00,2.2557744,0.5994086093888396,-2.2851196279893546,-0.0022848911388754674,Long,Closed,21
22,0,444.8398576512455,2025-06-26 12:00:00+00:00,2.2482248,0.6000599999999999,2025-06-26 12:30:00+00:00,2.2477752000000004,0.59994,-1.399999999999818,-0.0013998600139984183,Long,Closed,22
23,0,447.427293064877,2025-06-26 12:45:00+00:00,2.2352235,0.60006,2025-06-26 14:15:00+00:00,2.2207779000000003,0.5961819865771814,-7.659597691275028,-0.007658831808094218,Long,Closed,23
24,0,450.04500450045003,2025-06-26 14:45:00+00:00,2.2222222,0.6000599999999999,2025-06-26 15:00:00+00:00,2.2157784,0.59832,-4.0983799999999775,-0.004097970202979679,Long,Closed,24
25,0,453.3091568449683,2025-06-26 15:15:00+00:00,2.2062206,0.6000599999999999,2025-06-26 15:45:00+00:00,2.209779,0.6010278331822303,0.41196747053503,0.0004119262779072393,Long,Closed,25
26,0,455.58086560364467,2025-06-26 16:00:00+00:00,2.1952195,0.6000599999999999,2025-06-26 20:30:00+00:00,2.2417758,0.6127860956719818,19.997313357631068,0.019995313826248442,Long,Closed,26
27,0,448.83303411131055,2025-06-26 20:45:00+00:00,2.2282228,0.6000599999999999,2025-06-26 21:00:00+00:00,2.2107788999999998,0.5953623608617593,-9.024820924596217,-0.009023918532742942,Long,Closed,27
28,0,455.37340619307827,2025-06-26 22:45:00+00:00,2.1962196,0.6000599999999999,2025-06-26 23:00:00+00:00,2.1967803,0.6002131967213113,-0.9449453278688925,-0.0009448508427846141,Long,Closed,28
29,0,454.5454545454545,2025-06-26 23:30:00+00:00,2.2002200000000003,0.6000599999999999,2025-06-27 01:15:00+00:00,2.2127787000000003,0.6034851,4.5049549000000715,0.004504504449555116,Long,Closed,29
30,0,451.6711833785005,2025-06-27 01:30:00+00:00,2.2142214,0.6000599999999999,2025-06-27 03:45:00+00:00,2.2207779000000003,0.6018368292682927,1.7594852845529942,0.0017593093536176325,Long,Closed,30
31,0,451.8752824220515,2025-06-27 04:00:00+00:00,2.2132213,0.6000599999999999,2025-06-27 04:30:00+00:00,2.2107788999999998,0.5993978038861273,-2.303117993673788,-0.002302887704903298,Long,Closed,31
32,0,364.9257047319082,2025-06-27 06:00:00+00:00,2.1922192000000003,0.479998281892092,2025-06-27 06:30:00+00:00,2.1977802,0.4812158929985004,1.0681376691234663,0.001335176865525023,Long,Closed,32
33,0,456.62100456621005,2025-06-27 06:45:00+00:00,2.190219,0.6000599999999999,2025-06-27 08:45:00+00:00,2.1977802,0.6021315616438355,2.2504111780822678,0.002250186159466321,Long,Closed,33
34,0,456.62100456621005,2025-06-27 09:15:00+00:00,2.190219,0.6000599999999999,2025-06-27 09:45:00+00:00,2.1927807,0.6007618356164384,-0.03109580821896485,-3.109269894906995e-05,Long,Closed,34
35,0,458.7155963302752,2025-06-27 10:00:00+00:00,2.180218,0.6000599999999999,2025-06-27 12:15:00+00:00,2.1737826,0.5982887889908256,-4.150367137614763,-0.004149952142400523,Long,Closed,35
36,0,463.17739694302924,2025-06-27 12:30:00+00:00,2.1592159,0.60006,2025-06-27 16:45:00+00:00,2.1917808,0.6091099953682261,13.874155618341806,0.013872768341507654,Long,Closed,36
37,0,458.7155963302752,2025-06-27 17:00:00+00:00,2.180218,0.6000599999999999,2025-06-27 17:15:00+00:00,2.1737826,0.5982887889908256,-4.150367137614763,-0.004149952142400523,Long,Closed,37
