timestamp,close,buy_signal,sell_signal,signal_strength,market_regime
2025-03-01 05:00:00+00:00,3.277,False,True,0.813342457081722,neutral
2025-03-01 05:15:00+00:00,3.283,False,False,0.810686552121306,neutral
2025-03-01 05:30:00+00:00,3.278,False,False,0.815048903973826,neutral
2025-03-01 05:45:00+00:00,3.277,False,False,0.8364126518409392,neutral
2025-03-01 06:00:00+00:00,3.277,False,False,0.8256420044899788,neutral
2025-03-01 06:15:00+00:00,3.263,False,False,0.8177603484849043,neutral
2025-03-01 06:30:00+00:00,3.269,False,False,0.8127770106935872,neutral
2025-03-01 06:45:00+00:00,3.264,False,False,0.8290290337110862,neutral
2025-03-01 07:00:00+00:00,3.248,False,False,0.8248011758754084,neutral
2025-03-01 07:15:00+00:00,3.242,False,False,0.8266447375589479,neutral
2025-03-01 07:30:00+00:00,3.24,False,False,0.8260084755850297,neutral
2025-03-01 07:45:00+00:00,3.237,False,False,0.831264735852433,neutral
2025-03-01 08:00:00+00:00,3.242,False,False,0.829773533623303,neutral
2025-03-01 08:15:00+00:00,3.255,False,False,0.8290606284541304,neutral
2025-03-01 08:30:00+00:00,3.24,False,False,0.7809847016607552,neutral
2025-03-01 08:45:00+00:00,3.247,False,False,0.829773533623303,neutral
2025-03-01 09:00:00+00:00,3.249,False,False,0.8238432381708998,neutral
2025-03-01 09:15:00+00:00,3.25,False,False,0.8222149103388827,neutral
2025-03-01 09:30:00+00:00,3.234,False,False,0.8245865302655484,neutral
2025-03-01 09:45:00+00:00,3.24,False,False,0.8238432381708998,sideways_low_vol
2025-03-01 10:00:00+00:00,3.232,False,False,0.7884855430363034,sideways_low_vol
2025-03-01 10:15:00+00:00,3.222,False,False,0.784881918817832,sideways_low_vol
2025-03-01 10:30:00+00:00,3.211,False,False,0.7934374042105188,neutral
2025-03-01 10:45:00+00:00,3.206,False,False,0.8053843235224605,neutral
2025-03-01 11:00:00+00:00,3.178,False,False,0.7446537465958212,neutral
2025-03-01 11:15:00+00:00,3.189,False,False,0.7679079422505668,neutral
2025-03-01 11:30:00+00:00,3.191,False,False,0.8058619605983894,neutral
2025-03-01 11:45:00+00:00,3.186,False,False,0.8082647555114137,neutral
2025-03-01 12:00:00+00:00,3.175,False,False,0.7940646245434335,neutral
2025-03-01 12:15:00+00:00,3.174,False,False,0.7487935944297359,neutral
2025-03-01 12:30:00+00:00,3.182,False,False,0.8114131221816481,neutral
2025-03-01 12:45:00+00:00,3.189,False,False,0.8177473820428609,neutral
2025-03-01 13:00:00+00:00,3.174,False,False,0.7468390522849564,neutral
2025-03-01 13:15:00+00:00,3.169,False,False,0.7952759639989568,neutral
2025-03-01 13:30:00+00:00,3.154,False,False,0.7446138064804027,neutral
2025-03-01 13:45:00+00:00,3.151,False,False,0.751589026568904,neutral
